dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,0.0,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,0.0,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,0.2,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,0.2,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,0.4,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,0.4,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,0.6,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,0.6,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,0.8,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,0.8,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,1.0,Baseline-Half,0,299,1.0,294.7321422845125,0.0
Wine,1.0,Baseline-Full,0,84,1.0,101.8749998062849,0.0
Wine,0.0,Distill-S,0,117,1.0,133.0178566724062,0.0
Wine,0.2,Distill-S,0,94,1.0,109.8035708218813,0.0
Wine,0.4,Distill-S,0,112,1.0,127.8035708218813,0.0
Wine,0.6,Distill-S,0,191,1.0,206.9107137471437,0.0
Wine,0.8,Distill-S,0,235,1.0,250.7321422845125,0.0
Wine,1.0,Distill-S,0,277,1.0,291.7321422845125,0.0
Wine,0.0,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,0.0,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,0.2,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,0.2,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,0.4,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,0.4,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,0.6,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,0.6,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,0.8,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,0.8,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,1.0,Baseline-Half,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,1.0,Baseline-Full,1,299,1.0,294.5892859846353,0.0
Wine,0.0,Distill-S,1,43,0.8928571343421936,51.642856523394585,0.1071428656578064
Wine,0.2,Distill-S,1,39,0.8928571343421936,47.24999962747097,0.1071428656578064
Wine,0.4,Distill-S,1,43,0.8928571343421936,51.67857079207897,0.1071428656578064
Wine,0.6,Distill-S,1,43,0.8928571343421936,51.642856523394585,0.1071428656578064
Wine,0.8,Distill-S,1,43,0.8928571343421936,51.57142798602581,0.1071428656578064
Wine,1.0,Distill-S,1,43,0.8928571343421936,51.6071422547102,0.1071428656578064
Wine,0.0,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,0.0,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,0.2,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,0.2,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,0.4,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,0.4,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,0.6,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,0.6,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,0.8,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,0.8,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,1.0,Baseline-Half,2,299,1.0,296.9107142984867,0.0
Wine,1.0,Baseline-Full,2,299,1.0,298.0535714328289,0.0
Wine,0.0,Distill-S,2,205,1.0,222.76785710453987,0.0
