key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('wine', 'sens-LS', 0.05, 0)",116,1.0,131.83928515017033,0.0,1.0,1.0,137,0.9722222222222222,0.9722222222222222,0.06557556986808777,0.06765642762184143,0.0505770163403617,0.052037472526232406,0.18099971115589142,0.9511124491691589,
"('wine', 'sens-LS', 0.1, 0)",140,1.0,155.91071374714375,0.0,1.0,1.0,161,0.9722222222222222,0.9722222222222222,0.10420980304479599,0.10496262460947037,0.08366514907942878,0.08458816011746724,0.2910248041152954,0.9189383387565613,
"('wine', 'sens-LS', 0.2, 0)",115,1.0,131.12499947845936,0.0,1.0,1.0,136,0.9722222222222222,0.9722222222222222,0.1714416742324829,0.1718882918357849,0.14134540657202405,0.14233307209279802,0.45979854464530945,0.8603277802467346,
"('wine', 'sens-LS', 0.3, 0)",115,1.0,131.33928529918194,0.0,1.0,1.0,136,0.9722222222222222,0.9722222222222222,0.2421291172504425,0.2432050108909607,0.19930353595150843,0.20053715672757888,0.6011279821395874,0.8010340332984924,
"('wine', 'sens-KD', 1.0, 0.3, 0)",134,1.0,149.83928515017033,0.0,1.0,1.0,155,1.0,1.0,0.015143845230340958,0.013050957582890987,0.013937710060013665,0.012174351347817315,0.05268870294094086,0.9860623478889465,0.9722222222222222
"('wine', 'sens-KD', 1.0, 0.5, 0)",117,1.0,133.0178566724062,0.0,1.0,1.0,138,1.0,1.0,0.017479274421930313,0.014830359257757664,0.016292502482732136,0.014006445805231728,0.0632181465625763,0.9837075471878052,0.9722222222222222
"('wine', 'sens-KD', 1.0, 0.7, 0)",98,1.0,113.41071410477161,-0.03508771929824561,0.9649122807017544,1.0,119,1.0,1.0,0.023234115913510323,0.019032621756196022,0.02140794859992133,0.017832141783502366,0.07920613139867783,0.978592038154602,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.3, 0)",75,1.0,90.55357076227665,0.0,1.0,1.0,96,1.0,1.0,0.016016213223338127,0.012193149887025356,0.014813399977154201,0.0115919957558314,0.057058315724134445,0.9851868152618408,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.5, 0)",72,1.0,87.44642789661884,0.0,1.0,1.0,93,1.0,1.0,0.015674542635679245,0.012515093199908733,0.014728517995940315,0.011991260780228509,0.05818374454975128,0.9852713346481323,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.7, 0)",69,1.0,84.12499941885471,-0.03508771929824561,0.9649122807017544,1.0,90,1.0,1.0,0.016844069585204124,0.01430453360080719,0.015861334072219,0.013630459705988564,0.06178172305226326,0.9841387867927551,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.3, 0)",66,1.0,81.23214222490788,0.0,1.0,1.0,87,1.0,1.0,0.014217494055628777,0.013425568118691444,0.013308251897493998,0.012675462497605216,0.051754310727119446,0.9866917729377747,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.5, 0)",60,1.0,75.0178565531969,0.0,1.0,1.0,81,1.0,1.0,0.013968844898045063,0.01424277015030384,0.013266671035024854,0.013515694273842705,0.05357573926448822,0.9867331385612488,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.7, 0)",56,1.0,70.9107136875391,-0.01754385964912286,0.9824561403508771,1.0,77,1.0,1.0,0.01380313653498888,0.015127384103834629,0.013228436311086018,0.014345145887798732,0.05529002845287323,0.9867717027664185,0.9722222222222222
