dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
breastcancer,0.0,best_val_acc,Distill-S vs Baseline-LS,20,2.2204460492503132e-17,-0.00659340620040888,0.006043955683708263,0.9365906071613355,1.0,0.02564102564102564,ns
breastcancer,0.2,best_val_acc,Distill-S vs Baseline-LS,20,-0.004945054650306685,-0.010439559817314143,0.0005494505167007613,0.15392248276975698,1.0,-0.46153846153846156,ns
breastcancer,0.4,best_val_acc,Distill-S vs Baseline-LS,20,-0.0016483515501022506,-0.007692307233810436,0.005494505167007413,0.36888560134202775,1.0,-0.26666666666666666,ns
breastcancer,0.6,best_val_acc,Distill-S vs Baseline-LS,20,-0.004395604133605968,-0.009340658783912686,1.1102230246251566e-17,0.10264709213813315,1.0,-0.5454545454545454,ns
breastcancer,0.8,best_val_acc,Distill-S vs Baseline-LS,20,-0.004945054650306707,-0.009890109300613426,-0.0005494505167007391,0.06417639475454485,1.0,-0.6888888888888889,ns
breastcancer,1.0,best_val_acc,Distill-S vs Baseline-LS,20,-0.0027472525835037288,-0.007692307233810436,0.0016483515501022395,0.35616071278322725,1.0,-0.3611111111111111,ns
digits,0.0,best_val_acc,Distill-S vs Baseline-LS,20,-0.008362364768981922,-0.010975602269172663,-0.005749127268791188,0.00038187509667534595,0.008401252126857611,-0.9532163742690059,**
digits,0.2,best_val_acc,Distill-S vs Baseline-LS,20,-0.012195119261741666,-0.016376304626464878,-0.008013939857482971,0.00031000866839720604,0.007130199373135739,-0.9421052631578948,**
digits,0.4,best_val_acc,Distill-S vs Baseline-LS,20,-0.01097560524940489,-0.015331006050109819,-0.006620198488235446,0.0008524964472644048,0.017049928945288097,-0.8947368421052632,*
digits,0.6,best_val_acc,Distill-S vs Baseline-LS,20,-0.012195122241973893,-0.018466904759407026,-0.006097564101219194,0.0026400285271959037,0.05016054201672217,-0.8300653594771242,ns
digits,0.8,best_val_acc,Distill-S vs Baseline-LS,20,-0.014285710453987143,-0.01968640096485621,-0.009059232473373462,0.0004983279085286551,0.010464886079101758,-0.9105263157894737,*
digits,1.0,best_val_acc,Distill-S vs Baseline-LS,20,-0.01376306712627413,-0.018292683362960842,-0.009233453869819663,0.00023163740677081243,0.005559297762499499,-0.9883040935672515,**
glass,0.0,best_val_acc,Distill-S vs Baseline-LS,20,0.004411759972572327,-0.01911765038967133,0.02647058367729187,0.6133248607359906,1.0,0.1523809523809524,ns
