dataset,beta,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
breastcancer,0.2,best_val_acc,Distill-S vs Baseline-Student,20,0.0,-0.006593406200408958,0.007142856717109641,0.8573200803064944,1.0,-0.06060606060606061,ns
breastcancer,0.3,best_val_acc,Distill-S vs Baseline-Student,20,0.002747252583503751,-0.004945054650306674,0.009890109300613448,0.340836974053655,1.0,0.2967032967032967,ns
breastcancer,0.4,best_val_acc,Distill-S vs Baseline-Student,20,0.003296703100204512,-0.0032967031002044123,0.009340658783912742,0.14045055380546123,1.0,0.47435897435897434,ns
breastcancer,0.5,best_val_acc,Distill-S vs Baseline-Student,20,0.003296703100204501,-0.0027472525835036954,0.009340658783912676,0.21562291811747836,1.0,0.37142857142857144,ns
breastcancer,0.6,best_val_acc,Distill-S vs Baseline-Student,20,0.0027472525835037396,-0.0005494505167007613,0.00604395568370823,0.1365466970134347,1.0,0.48484848484848486,ns
breastcancer,0.7,best_val_acc,Distill-S vs Baseline-Student,20,0.0010989010334015003,-0.0027472525835037396,0.0043956041336060125,0.4262720787202886,1.0,0.28888888888888886,ns
breastcancer,0.8,best_val_acc,Distill-S vs Baseline-Student,20,0.0032967031002044565,-0.0010989010334015337,0.0076923072338104135,0.2975531675111377,1.0,0.3484848484848485,ns
digits,0.2,best_val_acc,Distill-S vs Baseline-Student,20,-0.014808362722396823,-0.019860640168189964,-0.009581878706812794,0.0008937532758053834,0.02413133844674535,-0.868421052631579,*
digits,0.3,best_val_acc,Distill-S vs Baseline-Student,20,-0.008013942837715154,-0.013588854670524574,-0.002439031004905706,0.017491335680972935,0.4023007206623775,-0.6210526315789474,ns
digits,0.4,best_val_acc,Distill-S vs Baseline-Student,20,-0.0015679389238357267,-0.005923333838582053,0.0029616862535476744,0.519445099652506,1.0,-0.16842105263157894,ns
digits,0.5,best_val_acc,Distill-S vs Baseline-Student,20,0.004703828692436229,0.0005226373672485625,0.009059229493141151,0.05831801014415054,1.0,0.49473684210526314,ns
digits,0.6,best_val_acc,Distill-S vs Baseline-Student,20,0.01010451912879946,0.004878038167953502,0.015330991148948741,0.0033094264237746728,0.0860450870181415,0.8104575163398693,ns
digits,0.7,best_val_acc,Distill-S vs Baseline-Student,20,0.010452976822853116,0.00452964007854465,0.016202098131179798,0.004035847373260086,0.10089618433150216,0.7719298245614035,ns
digits,0.8,best_val_acc,Distill-S vs Baseline-Student,20,0.019512197375297517,0.01428572528064249,0.02526131868362421,0.0001314204445389205,0.003679772447089774,1.0,**
glass,0.2,best_val_acc,Distill-S vs Baseline-Student,20,-0.01911764293909073,-0.05000000003725291,0.017647063732147222,0.11574136033506308,1.0,-0.47619047619047616,ns
glass,0.3,best_val_acc,Distill-S vs Baseline-Student,20,-0.010294109582901001,-0.041176459193229674,0.020588243007659913,0.6855259466902845,1.0,-0.1111111111111111,ns
glass,0.4,best_val_acc,Distill-S vs Baseline-Student,20,0.004411764442920685,-0.02499999701976776,0.0323529452085495,0.8033230152885649,1.0,0.07692307692307693,ns
glass,0.5,best_val_acc,Distill-S vs Baseline-Student,20,0.024999992549419404,-0.001470598578453064,0.05294116735458374,0.1476523977387637,1.0,0.39869281045751637,ns
glass,0.6,best_val_acc,Distill-S vs Baseline-Student,20,0.004411771893501284,-0.029411754012107848,0.0352941170334816,0.2643349155065633,1.0,0.30718954248366015,ns
glass,0.7,best_val_acc,Distill-S vs Baseline-Student,20,0.0014705985784530585,-0.020588219165802002,0.025000010430812836,0.7107688936905827,1.0,0.10833333333333334,ns
glass,0.8,best_val_acc,Distill-S vs Baseline-Student,20,0.011764702945947645,-0.035294120013713834,0.054411764442920695,0.42261772714742973,1.0,0.22794117647058823,ns
wine,0.2,best_val_acc,Distill-S vs Baseline-Student,20,-0.005357146263122559,-0.0160714328289032,0.005357140302658081,0.21801395384895594,1.0,-0.3939393939393939,ns
wine,0.3,best_val_acc,Distill-S vs Baseline-Student,20,-0.005357140302658081,-0.0160714328289032,0.007142862677574158,0.35866403807323666,1.0,-0.3090909090909091,ns
wine,0.4,best_val_acc,Distill-S vs Baseline-Student,20,5.960464477539063e-09,-0.008928567171096802,0.008928588032722473,0.5574801348628696,1.0,0.2222222222222222,ns
wine,0.5,best_val_acc,Distill-S vs Baseline-Student,20,0.003571432828903198,-0.007142844796180725,0.012500008940696717,0.27139601757306,1.0,0.4166666666666667,ns
wine,0.6,best_val_acc,Distill-S vs Baseline-Student,20,0.01607142686843872,0.007142853736877441,0.0267857164144516,0.013874405883025447,0.3329857411926107,1.0,ns
wine,0.7,best_val_acc,Distill-S vs Baseline-Student,20,0.010714292526245117,0.001785719394683838,0.019642865657806395,0.02603627408821327,0.572798029940692,0.8611111111111112,ns
wine,0.8,best_val_acc,Distill-S vs Baseline-Student,20,0.02500000298023224,0.005357146263122559,0.04642857611179352,0.03364536295502513,0.7065526220555278,0.8928571428571429,ns
breastcancer,0.2,e_star,Distill-S vs Baseline-Student,20,13.1,0.2,24.20124999999998,0.007857146442553536,0.16500007529362426,0.7134502923976608,ns
breastcancer,0.3,e_star,Distill-S vs Baseline-Student,20,6.4,-24.25125,28.65124999999998,0.010577858096274139,0.20097930382920864,0.75,ns
breastcancer,0.4,e_star,Distill-S vs Baseline-Student,20,33.25,14.498750000000001,55.501249999999985,0.0011670562869988247,0.02684229460097297,0.8713450292397661,*
breastcancer,0.5,e_star,Distill-S vs Baseline-Student,20,18.8,6.6,33.15124999999998,0.0173090051968246,0.2769440831491936,0.6210526315789474,ns
breastcancer,0.6,e_star,Distill-S vs Baseline-Student,20,35.1,10.498750000000001,65.55,0.002362330299873484,0.051971266597216646,0.7947368421052632,ns
breastcancer,0.7,e_star,Distill-S vs Baseline-Student,20,13.75,-23.85,51.95124999999999,0.11683805015944788,0.870197843324191,0.42105263157894735,ns
breastcancer,0.8,e_star,Distill-S vs Baseline-Student,20,29.4,6.65,59.4,0.014026770516530807,0.23845509878102372,0.6985294117647058,ns
digits,0.2,e_star,Distill-S vs Baseline-Student,20,10.7,-3.95,25.5,0.09659434751047219,0.870197843324191,0.4238095238095238,ns
digits,0.3,e_star,Distill-S vs Baseline-Student,20,17.25,3.4,33.1,0.09352559932972632,0.870197843324191,0.4502923976608187,ns
digits,0.4,e_star,Distill-S vs Baseline-Student,20,39.2,21.89875,58.65,0.0008313289225273848,0.019951894140657234,0.8523809523809524,*
digits,0.5,e_star,Distill-S vs Baseline-Student,20,70.1,48.1,92.35,3.62396240234375e-05,0.0009784698486328125,0.9333333333333333,***
digits,0.6,e_star,Distill-S vs Baseline-Student,20,73.65,55.99875,91.75124999999998,3.814697265625e-06,0.0001068115234375,0.9904761904761905,***
digits,0.7,e_star,Distill-S vs Baseline-Student,20,110.35,77.44875,141.40124999999998,0.0002188021038963283,0.0054700525974082075,0.9428571428571428,**
digits,0.8,e_star,Distill-S vs Baseline-Student,20,138.95,111.89875,165.95,8.844915021211901e-05,0.0022996779055150943,1.0,**
glass,0.2,e_star,Distill-S vs Baseline-Student,20,6.65,-4.7,19.15,0.4564035447089755,1.0,0.19473684210526315,ns
glass,0.3,e_star,Distill-S vs Baseline-Student,20,12.55,-1.15,27.15,0.09089696524544488,0.870197843324191,0.4421052631578947,ns
glass,0.4,e_star,Distill-S vs Baseline-Student,20,21.5,6.25,40.45,0.012243877637127296,0.22038979746829132,0.672514619883041,ns
glass,0.5,e_star,Distill-S vs Baseline-Student,20,23.3,7.45,44.05,0.009688990694446377,0.19377981388892754,0.7352941176470589,ns
glass,0.6,e_star,Distill-S vs Baseline-Student,20,6.6,-8.201249999999998,19.65,0.08701978433241911,0.870197843324191,0.4473684210526316,ns
glass,0.7,e_star,Distill-S vs Baseline-Student,20,17.7,6.55,31.00124999999998,0.01864488377400401,0.27967325661006015,0.631578947368421,ns
glass,0.8,e_star,Distill-S vs Baseline-Student,20,24.0,5.448750000000001,43.90124999999998,0.020556184841961617,0.28778658778746263,0.5904761904761905,ns
wine,0.2,e_star,Distill-S vs Baseline-Student,20,-75.3,-140.7,-7.197500000000036,0.05340584148798349,0.5874642563678184,-0.5052631578947369,ns
wine,0.3,e_star,Distill-S vs Baseline-Student,20,-55.0,-115.15125,7.6,0.11186004073658172,0.870197843324191,-0.41578947368421054,ns
wine,0.4,e_star,Distill-S vs Baseline-Student,20,-27.3,-83.90125,29.95124999999998,0.4939012303138084,1.0,-0.17894736842105263,ns
wine,0.5,e_star,Distill-S vs Baseline-Student,20,4.5,-44.35125,56.751249999999985,0.6377666989276032,1.0,0.14285714285714285,ns
wine,0.6,e_star,Distill-S vs Baseline-Student,20,48.85,7.746250000000003,91.85249999999996,0.04643107334919162,0.5571728801902995,0.5661764705882353,ns
wine,0.7,e_star,Distill-S vs Baseline-Student,20,41.4,9.298750000000002,74.20124999999999,0.0277830284121906,0.3611793693584778,0.5906432748538012,ns
wine,0.8,e_star,Distill-S vs Baseline-Student,20,19.35,-8.351249999999999,48.05124999999998,0.13594673509151767,0.870197843324191,0.48717948717948717,ns
breastcancer,0.2,ece_best,Distill-S vs Baseline-Student,20,0.0033018418309981347,-0.002747128045741929,0.009371298802526374,0.2942523956298828,1.0,0.2761904761904762,ns
breastcancer,0.3,ece_best,Distill-S vs Baseline-Student,20,-0.0012413954787086911,-0.005591469184217725,0.003181286426751238,0.5705966949462891,1.0,-0.1523809523809524,ns
breastcancer,0.4,ece_best,Distill-S vs Baseline-Student,20,0.0018396015229978093,-0.004232478705153126,0.007861459907471093,0.49800872802734375,1.0,0.18095238095238095,ns
breastcancer,0.5,ece_best,Distill-S vs Baseline-Student,20,0.0020284664735459646,-0.0035711117925350906,0.007266851141395305,0.36827659606933594,1.0,0.23809523809523808,ns
breastcancer,0.6,ece_best,Distill-S vs Baseline-Student,20,-0.002346046817930135,-0.007394849366524802,0.002518912662278139,0.4523754119873047,1.0,-0.2,ns
breastcancer,0.7,ece_best,Distill-S vs Baseline-Student,20,-0.003842897739326745,-0.008164551722768107,0.00043678463551036234,0.10539817810058594,1.0,-0.41904761904761906,ns
breastcancer,0.8,ece_best,Distill-S vs Baseline-Student,20,-0.0039902080046503256,-0.007106167442704506,-0.0005460483992570493,0.03276824951171875,0.6881332397460938,-0.5428571428571428,ns
digits,0.2,ece_best,Distill-S vs Baseline-Student,20,0.0071989922059906685,0.0037817059225506164,0.010883085364268866,0.001209259033203125,0.0338592529296875,0.780952380952381,*
digits,0.3,ece_best,Distill-S vs Baseline-Student,20,0.0030492081203394653,-0.0003035209301031218,0.0063936708504334135,0.1230926513671875,1.0,0.4,ns
digits,0.4,ece_best,Distill-S vs Baseline-Student,20,0.0016692819177276399,-0.0015752320367222283,0.0049122632384403595,0.2773551940917969,1.0,0.2857142857142857,ns
digits,0.5,ece_best,Distill-S vs Baseline-Student,20,-0.00350501211567058,-0.006234766816720372,-9.503263731801482e-05,0.012079238891601562,0.27782249450683594,-0.6285714285714286,ns
digits,0.6,ece_best,Distill-S vs Baseline-Student,20,-0.00409728791357746,-0.006662251511588723,-0.0014557263317725247,0.01531219482421875,0.3368682861328125,-0.6095238095238096,ns
digits,0.7,ece_best,Distill-S vs Baseline-Student,20,-0.0030129306680626447,-0.006903234724110611,0.000810435744830291,0.1893482208251953,1.0,-0.34285714285714286,ns
digits,0.8,ece_best,Distill-S vs Baseline-Student,20,-0.006533436795903595,-0.00985868097971092,-0.0032265195297594956,0.002712249755859375,0.07051849365234375,-0.7333333333333333,ns
glass,0.2,ece_best,Distill-S vs Baseline-Student,20,0.0406440164807231,0.01786579031410606,0.06357560771582434,0.00365447998046875,0.09136199951171875,0.7142857142857143,ns
glass,0.3,ece_best,Distill-S vs Baseline-Student,20,0.013527499763078477,-0.008220522469559378,0.03563011000842548,0.3299827575683594,1.0,0.2571428571428571,ns
glass,0.4,ece_best,Distill-S vs Baseline-Student,20,-0.0010729138241257943,-0.02514167853046298,0.02177345202932522,0.9854354858398438,1.0,-0.009523809523809525,ns
glass,0.5,ece_best,Distill-S vs Baseline-Student,20,-0.016607941444530056,-0.05052348198499099,0.014333682612970754,0.4523754119873047,1.0,-0.2,ns
glass,0.6,ece_best,Distill-S vs Baseline-Student,20,-0.021353974210661486,-0.05028168411795482,0.008999311227438087,0.13272666931152344,1.0,-0.3904761904761905,ns
glass,0.7,ece_best,Distill-S vs Baseline-Student,20,0.0018425193636916527,-0.026251526089428462,0.028947356992162953,0.7011814117431641,1.0,0.10476190476190476,ns
glass,0.8,ece_best,Distill-S vs Baseline-Student,20,0.0007139440366001754,-0.03535234781371994,0.038161915143908404,1.0,1.0,0.0,ns
wine,0.2,ece_best,Distill-S vs Baseline-Student,20,0.019496991609533637,0.006975322762090301,0.032106994124543334,0.00830841064453125,0.19940185546875,0.6571428571428571,ns
wine,0.3,ece_best,Distill-S vs Baseline-Student,20,0.01309514881836045,0.005234019357918057,0.02057112054899337,0.0019855499267578125,0.05360984802246094,0.7523809523809524,ns
wine,0.4,ece_best,Distill-S vs Baseline-Student,20,0.002049603934089341,-0.004341211623201791,0.00812720276622309,0.34881019592285156,1.0,0.24761904761904763,ns
wine,0.5,ece_best,Distill-S vs Baseline-Student,20,0.002050954062077736,-0.007679901106490017,0.012084072680316027,0.6742229461669922,1.0,0.11428571428571428,ns
wine,0.6,ece_best,Distill-S vs Baseline-Student,20,-0.01008996446099546,-0.020081227403134123,-0.0005449170753773754,0.082550048828125,1.0,-0.44761904761904764,ns
wine,0.7,ece_best,Distill-S vs Baseline-Student,20,-0.008369161602523604,-0.014896805354704471,-0.0026248402510666165,0.03623390197753906,0.7246780395507812,-0.5333333333333333,ns
wine,0.8,ece_best,Distill-S vs Baseline-Student,20,-0.0001765141056643535,-0.0075006359805249445,0.007771659150926623,0.7011814117431641,1.0,-0.10476190476190476,ns
breastcancer,0.2,ece_final,Distill-S vs Baseline-Student,20,0.0033196928992606256,-0.0014142326043362992,0.008377727442012569,0.2942523956298828,1.0,0.2761904761904762,ns
breastcancer,0.3,ece_final,Distill-S vs Baseline-Student,20,0.0021867170929908896,-0.0015397532872463355,0.005564531972795218,0.24548721313476562,1.0,0.3047619047619048,ns
breastcancer,0.4,ece_final,Distill-S vs Baseline-Student,20,-0.002223066515044165,-0.010153360002134999,0.004652115047762281,0.6476554870605469,1.0,0.12380952380952381,ns
breastcancer,0.5,ece_final,Distill-S vs Baseline-Student,20,-0.00300957296501127,-0.008378983611861882,0.001825961749673922,0.6215133666992188,1.0,-0.13333333333333333,ns
breastcancer,0.6,ece_final,Distill-S vs Baseline-Student,20,-0.006717832386493659,-0.011828132944933137,-0.002336393162085282,0.017181396484375,0.395172119140625,-0.6,ns
breastcancer,0.7,ece_final,Distill-S vs Baseline-Student,20,-0.005321763377440606,-0.010670455897455664,-0.00011995869770384921,0.05316925048828125,1.0,-0.49523809523809526,ns
breastcancer,0.8,ece_final,Distill-S vs Baseline-Student,20,-0.005758575755253176,-0.011608207687866273,0.00013310416487224194,0.10539817810058594,1.0,-0.41904761904761906,ns
digits,0.2,ece_final,Distill-S vs Baseline-Student,20,0.005870301007396659,0.002175885929208673,0.009339634039025345,0.0042209625244140625,0.1013031005859375,0.7047619047619048,ns
digits,0.3,ece_final,Distill-S vs Baseline-Student,20,-0.00022727900495132515,-0.00406190239958881,0.003695737064919516,0.9272785186767578,1.0,-0.02857142857142857,ns
digits,0.4,ece_final,Distill-S vs Baseline-Student,20,-0.00033548828421366486,-0.004198441725948622,0.0032200300828553858,0.7841262817382812,1.0,0.0761904761904762,ns
