dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
glass,0.2,Baseline-Full,0,54,0.6176470518112183,43.279412396252155,0.17754402082331855,0.8540145985401459,0.6764705777168274,75,0.5581395348837209,0.5813953488372093,1.257967233657837,1.2554795742034912,0.1566009521484375,0.19611633101174997,0.8103248476982117,0.6635835766792297,,,,,,,,
glass,0.8,Baseline-Full,0,54,0.6176470518112183,43.279412396252155,0.17754402082331855,0.8540145985401459,0.6764705777168274,75,0.5581395348837209,0.5813953488372093,1.257967233657837,1.2554795742034912,0.1566009521484375,0.19611633101174997,0.8103248476982117,0.6635835766792297,,,,,,,,
glass,0.2,Baseline-Student,0,16,0.47058823704719543,17.52941193431616,0.2272727272727273,0.7272727272727273,0.5,37,0.3953488372093023,0.4186046511627907,1.5643035173416138,1.690874457359314,0.10401679540789403,0.21468420777209965,1.370465636253357,0.4236498475074768,,,,,,,,
glass,0.8,Baseline-Student,0,110,0.6176470518112183,64.77941209822893,0.2815125840050834,0.9285714285714286,0.6470588445663452,131,0.4883720930232558,0.5581395348837209,1.55851411819458,1.5869194269180298,0.2164473263330238,0.20546945375065467,0.9263875484466553,0.6320716738700867,,,,,,,,
glass,0.2,Distill-S,0,98,0.7058823704719543,73.55882435292006,0.1144385131922635,0.7909090909090909,0.6764705777168274,119,0.6511627906976745,0.6744186046511628,1.2759413719177246,1.27915358543396,0.23191358876782797,0.14518799199614413,0.6424714922904968,0.7437282800674438,0.5813953488372093,0.28660327393958973,0.8377427265088536,0.3994359737121798,0.3232931664280656,0.8803032765341143,,0.9090909090909091
glass,0.8,Distill-S,0,62,0.44117647409439087,35.85294168442488,0.2857142857142857,0.7857142857142857,0.5,83,0.3488372093023256,0.37209302325581395,1.5808112621307373,1.6184659004211426,0.19118275614671928,0.20870758974274928,1.2722973823547363,0.5222160816192627,0.7209302325581395,0.1512268026269139,0.723942414121201,0.6435523067277704,0.49312233105199005,0.8153882340118096,,0.75
wine,0.2,Baseline-Full,0,84,1.0,101.8749998062849,0.0,1.0,1.0,105,1.0,1.0,0.008811931125819683,0.007080952171236277,0.007832065224647522,0.006388348009851243,0.024337125942111015,0.9921678900718689,,,,,,,,
wine,0.8,Baseline-Full,0,84,1.0,101.8749998062849,0.0,1.0,1.0,105,1.0,1.0,0.008811931125819683,0.007080952171236277,0.007832065224647522,0.006388348009851243,0.024337125942111015,0.9921678900718689,,,,,,,,
wine,0.2,Baseline-Student,0,299,1.0,296.05357103049755,0.0,1.0,1.0,300,0.9722222222222222,0.9722222222222222,0.036603525280952454,0.036603525280952454,0.02016311552789476,0.02016311552789476,0.020132072269916534,0.9918403625488281,,,,,,,,
wine,0.8,Baseline-Student,0,142,0.9285714030265808,140.4464262574911,0.07142859697341919,1.0,0.9285714030265808,163,1.0,1.0,0.024748167023062706,0.021517354995012283,0.022279984421200223,0.019336235192086958,0.08163483440876007,0.9777199625968933,,,,,,,,
wine,0.2,Distill-S,0,55,0.9642857313156128,70.89285741746426,0.013975138249604613,0.9782608695652174,0.9642857313156128,76,1.0,1.0,0.029574641957879066,0.025761829689145088,0.028020072314474315,0.024323580993546378,0.11432349681854248,0.9719798564910889,1.0,0.029228453229267586,0.9707715467707323,0.10833859279464202,0.16357176275826218,0.9363610381249173,,0.9347826086956522
wine,0.8,Distill-S,0,135,0.9285714030265808,134.62499786913395,0.07142859697341919,1.0,0.9285714030265808,156,1.0,1.0,0.03842778503894806,0.033558860421180725,0.033908286028438143,0.029760907093683876,0.11201783269643784,0.9660916924476624,1.0,0.021311338803136966,0.978688661196863,0.055062884222681144,0.07004625659845302,0.9782500059723055,,0.9565217391304348
