dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
fashion_mnist,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.010804166666666648,0.009279166666666653,0.01222916666666663,1.9073486328125e-06,1.1444091796875e-05,1.0,***
fashion_mnist,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.009645833333333364,0.007766562500000034,0.01146697916666668,8.844915021211901e-05,0.0004100799560546875,1.0,***
fashion_mnist,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.005824999999999986,0.003804062499999959,0.007695937500000047,8.20159912109375e-05,0.0004100799560546875,0.9047619047619048,***
fashion_mnist,0.6,best_val_acc,Distill-S vs Baseline-Half,20,-0.00019166666666667887,-0.0019002083333333722,0.0014126041666666683,0.8408222198486328,0.9401362360890797,0.05714285714285714,ns
fashion_mnist,0.8,best_val_acc,Distill-S vs Baseline-Half,20,-0.0007374999999999798,-0.002333437499999971,0.0008416666666666462,0.40934420457023923,0.9401362360890797,-0.21578947368421053,ns
fashion_mnist,1.0,best_val_acc,Distill-S vs Baseline-Half,20,-0.0010250000000000259,-0.0027625000000000123,0.0004792708333333329,0.31337874536302657,0.9401362360890797,-0.2571428571428571,ns
fashion_mnist,0.0,e_star,Distill-S vs Baseline-Half,20,18.2,14.7,21.6,8.69545403378786e-05,0.0005217272420272716,1.0,***
fashion_mnist,0.2,e_star,Distill-S vs Baseline-Half,20,15.25,9.45,21.25,0.000253105065361946,0.0012655253268097299,0.9824561403508771,**
fashion_mnist,0.4,e_star,Distill-S vs Baseline-Half,20,7.85,4.4,11.7,0.00041454445835605546,0.0016581778334242218,0.9738562091503268,**
fashion_mnist,0.6,e_star,Distill-S vs Baseline-Half,20,-0.5,-1.25,0.25,0.18141460657047492,0.5442438197114248,-0.4727272727272727,ns
fashion_mnist,0.8,e_star,Distill-S vs Baseline-Half,20,-0.05,-0.7,0.55,0.8918111493896637,1.0,0.045454545454545456,ns
fashion_mnist,1.0,e_star,Distill-S vs Baseline-Half,20,-0.25,-1.1,0.45,0.6702069014230594,1.0,-0.16666666666666666,ns
fashion_mnist,0.0,ece_best,Distill-S vs Baseline-Half,20,0.0038265928677469496,8.305332174338785e-05,0.007801609863637011,0.10539817810058594,0.42159271240234375,0.41904761904761906,ns
fashion_mnist,0.2,ece_best,Distill-S vs Baseline-Half,20,0.005009061888903366,0.0005858570961635531,0.009700807624863432,0.05316925048828125,0.26584625244140625,0.49523809523809526,ns
fashion_mnist,0.4,ece_best,Distill-S vs Baseline-Half,20,0.0056658522783219895,0.0019850523244179822,0.009710373147899295,0.017181396484375,0.10308837890625,0.6,ns
fashion_mnist,0.6,ece_best,Distill-S vs Baseline-Half,20,-0.001797338433563725,-0.005701550006873924,0.0021682190048750343,0.4523754119873047,1.0,-0.2,ns
fashion_mnist,0.8,ece_best,Distill-S vs Baseline-Half,20,-5.472869902850511e-05,-0.00383425077530554,0.003774394404303279,0.8123550415039062,1.0,0.06666666666666667,ns
fashion_mnist,1.0,ece_best,Distill-S vs Baseline-Half,20,-0.0017168628773093241,-0.005549952708585186,0.002003836462454857,0.4304332733154297,1.0,-0.20952380952380953,ns
