dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.0,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,0.2,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,0.4,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,0.6,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,0.8,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,1.0,Baseline-Full,10,4,0.7903,18.8067,0.18574999999999997,0.99505,0.8093,25,0.7919,0.7967,0.6123490929603577,1.1898603439331055,0.03183758136630058,0.14934934069514272,0.49465644359588623,0.8236725330352783,,,,,,,,
cifar10,0.0,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,0.2,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,0.4,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,0.6,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,0.8,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,1.0,Baseline-Full,11,6,0.79,20.250999999999998,0.174775,0.983875,0.8091,27,0.7887,0.8041,0.6426993012428284,1.1346635818481445,0.06317542200684545,0.1421962830603123,0.410235732793808,0.851875364780426,,,,,,,,
cifar10,0.0,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
cifar10,0.2,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
cifar10,0.4,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
cifar10,0.6,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
