dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.0,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,0.2,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,0.4,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,0.6,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,0.8,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,1.0,Baseline-Full,7,5,0.791,19.65645,0.1784,0.9827,0.8043,26,0.7928,0.8021,0.633583664894104,1.1448923349380493,0.050473521095514284,0.14336061220765114,0.4424368739128113,0.8418984413146973,,,,,,,,
cifar10,0.0,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,0.2,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,0.4,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,0.6,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,0.8,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,1.0,Baseline-Full,8,7,0.8032,21.35735,0.16432500000000005,0.980225,0.8159,28,0.7984,0.8084,0.6370974183082581,1.097171425819397,0.059933418799936786,0.13928552494347096,0.38842207193374634,0.85833340883255,,,,,,,,
cifar10,0.0,Baseline-Full,9,6,0.8041,20.27345,0.185075,0.983575,0.7985,27,0.7989,0.7916,0.6214737296104431,1.185335636138916,0.05543149844706059,0.1531642190784216,0.40666839480400085,0.8538857698440552,,,,,,,,
cifar10,0.2,Baseline-Full,9,6,0.8041,20.27345,0.185075,0.983575,0.7985,27,0.7989,0.7916,0.6214737296104431,1.185335636138916,0.05543149844706059,0.1531642190784216,0.40666839480400085,0.8538857698440552,,,,,,,,
cifar10,0.4,Baseline-Full,9,6,0.8041,20.27345,0.185075,0.983575,0.7985,27,0.7989,0.7916,0.6214737296104431,1.185335636138916,0.05543149844706059,0.1531642190784216,0.40666839480400085,0.8538857698440552,,,,,,,,
cifar10,0.6,Baseline-Full,9,6,0.8041,20.27345,0.185075,0.983575,0.7985,27,0.7989,0.7916,0.6214737296104431,1.185335636138916,0.05543149844706059,0.1531642190784216,0.40666839480400085,0.8538857698440552,,,,,,,,
