dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.0,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,0.2,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,0.4,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,0.6,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,0.8,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,1.0,Baseline-Full,0,5,0.7858,19.60605,0.17695,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.0511561323553323,0.1362018380105495,0.4533617198467254,0.8387404084205627,,,,,,,,
cifar10,0.0,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.2,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.4,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.6,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.8,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,1.0,Baseline-Half,0,4,0.7485,17.70485,0.22055,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.0322030170798301,0.1668481391102075,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.0,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,0.2,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,0.4,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,0.6,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,0.8,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,1.0,Baseline-LS,0,9,0.783,21.7463,0.2287,0.9998,0.7711,30,0.7869,0.7717,0.7061169743537903,0.7700866460800171,0.0573438463330268,0.0650971339195966,0.8955532312393188,0.7297636270523071,,,,,,,,
cifar10,0.0,Distill-S,0,35,0.7913,42.64245,0.11375,0.91195,0.7982,56,0.7946,0.7985,0.664883017539978,0.6678810715675354,0.0692634912222623,0.0665217099696398,0.3782617151737213,0.8637646436691284,0.7889,0.1615879708200692,0.9504798054695128,0.1260952800512313,0.1255138963460922,0.9501813650131226,,0.8702
cifar10,0.2,Distill-S,0,19,0.7879,29.829,0.14815,0.92325,0.7751,40,0.7832,0.7699,0.70335853099823,0.7490390539169312,0.0862280308902263,0.09666550026834,0.359561949968338,0.8692700266838074,0.7917,0.1647765680640936,0.9563966989517212,0.1100422963500022,0.089922696352005,0.9640068411827089,0.999,0.8761875
