dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
cifar10,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.046200000000000005,0.041009874999999994,0.051050125000000016,8.832385863081277e-05,0.0003532954345232511,1.0,***
cifar10,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.03796,0.029659999999999992,0.045340125,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.02693,0.019834875,0.034070125000000014,9.5367431640625e-06,4.76837158203125e-05,0.9714285714285714,***
cifar10,0.6,best_val_acc,Distill-S vs Baseline-Half,20,0.012685000000000007,0.007695000000000013,0.017965,0.000389773883251227,0.001169321649753681,0.9047619047619048,**
cifar10,0.8,best_val_acc,Distill-S vs Baseline-Half,20,0.00048000000000000267,-0.006010124999999988,0.006675125000000012,0.8373005793912056,0.8373005793912056,0.05238095238095238,ns
cifar10,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.0020000000000000074,-0.0033402499999999817,0.007890125000000012,0.40087572947628325,0.8017514589525665,0.21428571428571427,ns
cifar10,0.0,e_star,Distill-S vs Baseline-Half,20,29.75,22.95,36.2,8.844915021211901e-05,0.0005306949012727141,1.0,***
cifar10,0.2,e_star,Distill-S vs Baseline-Half,20,28.95,19.1,38.5,0.0003537248422747949,0.0017686242113739746,0.9590643274853801,**
cifar10,0.4,e_star,Distill-S vs Baseline-Half,20,9.85,3.35,18.05,0.001284492926360698,0.005137971705442792,0.9117647058823529,**
cifar10,0.6,e_star,Distill-S vs Baseline-Half,20,4.45,0.35,11.8,0.03411362699526288,0.10234088098578864,0.638095238095238,ns
cifar10,0.8,e_star,Distill-S vs Baseline-Half,20,0.5,-0.2,1.2,0.185514969892545,0.37102993978509,0.4065934065934066,ns
cifar10,1.0,e_star,Distill-S vs Baseline-Half,20,2.7,-0.6,8.501249999999981,0.5629698925411282,0.5629698925411282,0.16666666666666666,ns
cifar10,0.0,ece_best,Distill-S vs Baseline-Half,20,0.008629397042095666,-0.0014895660862736329,0.01846377434833347,0.11398696899414062,0.6323890686035156,0.4095238095238095,ns
cifar10,0.2,ece_best,Distill-S vs Baseline-Half,20,0.0057321209359169085,-0.007497660738445804,0.017555343467110775,0.3117942810058594,0.6485023498535156,0.26666666666666666,ns
cifar10,0.4,ece_best,Distill-S vs Baseline-Half,20,0.008898463653698572,-0.003309678165512138,0.02071878495965527,0.10539817810058594,0.6323890686035156,0.41904761904761906,ns
cifar10,0.6,ece_best,Distill-S vs Baseline-Half,20,0.007267310445681231,-0.0028369573946520547,0.017503497302969916,0.21616744995117188,0.6485023498535156,0.3238095238095238,ns
cifar10,0.8,ece_best,Distill-S vs Baseline-Half,20,0.009385627079904096,0.000510721155475842,0.018999676686724656,0.14290618896484375,0.6323890686035156,0.38095238095238093,ns
cifar10,1.0,ece_best,Distill-S vs Baseline-Half,20,0.0020634455773234457,-0.01082539603902025,0.014611290781520304,0.8694877624511719,0.8694877624511719,0.047619047619047616,ns
cifar10,0.0,ece_final,Distill-S vs Baseline-Half,20,-0.09514763912320136,-0.10152544827163593,-0.08862631659210657,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,ece_final,Distill-S vs Baseline-Half,20,-0.0891022162269056,-0.09643672886601655,-0.08188449132906644,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
