dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
cifar10,0.0,best_val_acc,Distill-S vs Baseline-LS,20,0.017305000000000004,0.01348000000000001,0.02119512500000001,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.2,best_val_acc,Distill-S vs Baseline-LS,20,0.009065,0.0024948749999999923,0.015370250000000023,0.018664589466918746,0.03732917893383749,0.6,*
cifar10,0.4,best_val_acc,Distill-S vs Baseline-LS,20,-0.001965,-0.007569999999999993,0.0038251249999999987,0.5882519814791813,0.5882519814791813,-0.1380952380952381,ns
cifar10,0.6,best_val_acc,Distill-S vs Baseline-LS,20,-0.016209999999999992,-0.022374999999999996,-0.00985462499999999,0.0008899536071042575,0.0026698608213127726,-0.8476190476190476,**
cifar10,0.8,best_val_acc,Distill-S vs Baseline-LS,20,-0.028414999999999996,-0.034650249999999994,-0.022184874999999975,0.00010305922341480608,0.00041223689365922433,-0.9904761904761905,***
cifar10,1.0,best_val_acc,Distill-S vs Baseline-LS,20,-0.026894999999999992,-0.03352025000000001,-0.019439875,1.9073486328125e-05,9.5367431640625e-05,-0.9523809523809523,***
cifar10,0.0,e_star,Distill-S vs Baseline-LS,20,24.6,18.45,30.5,8.832385863081277e-05,0.0005299431517848766,1.0,***
cifar10,0.2,e_star,Distill-S vs Baseline-LS,20,23.8,14.05,33.25,0.0007779427110357007,0.0031117708441428028,0.8571428571428571,**
cifar10,0.4,e_star,Distill-S vs Baseline-LS,20,4.7,-1.8,13.001249999999981,0.8786793944744581,0.8786793944744581,-0.04093567251461988,ns
cifar10,0.6,e_star,Distill-S vs Baseline-LS,20,-0.7,-5.25,6.95,0.0094437680197078,0.0188875360394156,-0.695906432748538,*
cifar10,0.8,e_star,Distill-S vs Baseline-LS,20,-4.65,-5.95,-3.3,0.00023848527987833037,0.0011924263993916518,-0.9333333333333333,**
cifar10,1.0,e_star,Distill-S vs Baseline-LS,20,-2.45,-6.15,3.75,0.0023144861640999616,0.0069434584922998845,-0.7761904761904762,**
cifar10,0.0,ece_best,Distill-S vs Baseline-LS,20,0.019491765792816883,0.01370756615417451,0.025439334884585822,5.7220458984375e-06,3.4332275390625e-05,0.9809523809523809,***
cifar10,0.2,ece_best,Distill-S vs Baseline-LS,20,0.01659448968663813,0.009141000896582386,0.023439515316976234,0.0007076263427734375,0.0021228790283203125,0.8095238095238095,**
cifar10,0.4,ece_best,Distill-S vs Baseline-LS,20,0.019760832404419792,0.011859630794420864,0.027548066192038357,0.0002613067626953125,0.0013065338134765625,0.8571428571428571,**
cifar10,0.6,ece_best,Distill-S vs Baseline-LS,20,0.01812967919640245,0.008813946517311055,0.027936291487008345,0.001689910888671875,0.00337982177734375,0.7619047619047619,**
cifar10,0.8,ece_best,Distill-S vs Baseline-LS,20,0.020247995830625316,0.012306510159481353,0.02821905893728138,0.0002613067626953125,0.0013065338134765625,0.8571428571428571,**
cifar10,1.0,ece_best,Distill-S vs Baseline-LS,20,0.012925814328044663,0.0006885726005565481,0.024360371274601653,0.03623390197753906,0.03623390197753906,0.5333333333333333,*
cifar10,0.0,ece_final,Distill-S vs Baseline-LS,20,0.008146696221232434,0.0007222174049113104,0.016371059811215866,0.11398696899414062,0.11398696899414062,0.4095238095238095,ns
cifar10,0.2,ece_final,Distill-S vs Baseline-LS,20,0.014192119117528188,0.004285378160672227,0.0235014589053858,0.006389617919921875,0.01277923583984375,0.6761904761904762,*
cifar10,0.4,ece_final,Distill-S vs Baseline-LS,20,0.02805372716158629,0.018805405923282746,0.0379979935651999,1.9073486328125e-05,5.7220458984375e-05,0.9523809523809523,***
cifar10,0.6,ece_final,Distill-S vs Baseline-LS,20,0.043285333251059044,0.03560527840774506,0.051913928729888044,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.8,ece_final,Distill-S vs Baseline-LS,20,0.06513382190160454,0.057089200103124606,0.07366257283309847,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,1.0,ece_final,Distill-S vs Baseline-LS,20,0.09195706427991389,0.07828156836078315,0.10473104931578411,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.0,final_gen_gap,Distill-S vs Baseline-LS,20,-0.11732999999999998,-0.12334537500000001,-0.11181481249999993,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,final_gen_gap,Distill-S vs Baseline-LS,20,-0.09463250000000001,-0.10261012499999998,-0.0873445625,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.4,final_gen_gap,Distill-S vs Baseline-LS,20,-0.075525,-0.0828125,-0.06869975000000002,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.6,final_gen_gap,Distill-S vs Baseline-LS,20,-0.05616000000000001,-0.062397625000000026,-0.05056743750000002,8.844915021211901e-05,9.5367431640625e-05,-1.0,***
cifar10,0.8,final_gen_gap,Distill-S vs Baseline-LS,20,-0.03338750000000002,-0.039710125000000034,-0.027832437500000046,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,1.0,final_gen_gap,Distill-S vs Baseline-LS,20,-0.01924500000000002,-0.026747562500000013,-0.012029875000000028,4.76837158203125e-05,9.5367431640625e-05,-0.9238095238095239,***
cifar10,0.0,test_acc_best,Distill-S vs Baseline-LS,20,0.01781499999999998,0.01338487499999999,0.02202499999999998,5.7220458984375e-06,3.4332275390625e-05,0.9809523809523809,***
