dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.0,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,0.2,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,0.4,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,0.6,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,0.8,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,1.0,Baseline-Full,0,5,0.7858,19.606049999999996,0.17695000000000005,0.98575,0.8088,26,0.7885,0.8084,0.639513373374939,1.0405839681625366,0.051156132355332354,0.1362018380105495,0.45336171984672546,0.8387404084205627,,,,,,,,
cifar10,0.0,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,0.2,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,0.4,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,0.6,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,0.8,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,1.0,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.06425636137723925,0.14393637779355045,0.38802847266197205,0.8581817150115967,,,,,,,,
cifar10,0.0,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,0.2,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,0.4,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,0.6,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,0.8,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,1.0,Baseline-Full,2,6,0.7978,20.6064,0.19072500000000003,0.986425,0.7957,27,0.796,0.7985,0.6280267834663391,1.280693531036377,0.048171058966219454,0.14966145609915255,0.43162962794303894,0.8441711068153381,,,,,,,,
cifar10,0.0,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,0.2,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,0.4,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,0.6,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,0.8,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,1.0,Baseline-Full,4,8,0.8112,21.91155,0.18007499999999999,0.985175,0.8051,29,0.8035,0.8107,0.6283425092697144,1.131111979484558,0.07263687279820441,0.1388831454008818,0.33630451560020447,0.8758220672607422,,,,,,,,
cifar10,0.0,Baseline-Half,0,4,0.7485,17.70485,0.22055000000000002,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.03220301707983016,0.16684813911020752,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.2,Baseline-Half,0,4,0.7485,17.70485,0.22055000000000002,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.03220301707983016,0.16684813911020752,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.4,Baseline-Half,0,4,0.7485,17.70485,0.22055000000000002,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.03220301707983016,0.16684813911020752,0.6065577864646912,0.780994176864624,,,,,,,,
cifar10,0.6,Baseline-Half,0,4,0.7485,17.70485,0.22055000000000002,0.98395,0.7634,25,0.7495,0.7606,0.7406460642814636,1.2604312896728516,0.03220301707983016,0.16684813911020752,0.6065577864646912,0.780994176864624,,,,,,,,
