dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
yeast,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.010126584768295288,0.0027426153421401976,0.0177215189486742,0.025588038197464292,0.12794019098732146,0.6143790849673203,ns
yeast,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.00886075496673584,0.003164547681808472,0.014556956291198731,0.01443770837715085,0.0866262502629051,0.7166666666666667,ns
yeast,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.007172998785972595,-0.0008438825607299805,0.01476794183254242,0.07219474534887846,0.28877898139551383,0.46842105263157896,ns
yeast,0.6,best_val_acc,Distill-S vs Baseline-Half,20,0.006329113245010376,-0.0002109736204147339,0.012869197204709052,0.09594777780039682,0.28877898139551383,0.43157894736842106,ns
yeast,0.8,best_val_acc,Distill-S vs Baseline-Half,20,0.0029535859823226927,-0.0018987298011779786,0.007594931200146675,0.21230152509441025,0.4246030501888205,0.3333333333333333,ns
yeast,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.00042194128036499023,-0.003586497977375984,0.004641351103782654,0.6587278801580052,0.6587278801580052,0.125,ns
yeast,0.0,e_star,Distill-S vs Baseline-Half,20,14.0,6.3,22.75,0.0030774071135082357,0.015387035567541178,0.7736842105263158,*
yeast,0.2,e_star,Distill-S vs Baseline-Half,20,2.45,-1.15,6.05,0.24474436340936878,0.9789774536374751,0.3202614379084967,ns
yeast,0.4,e_star,Distill-S vs Baseline-Half,20,0.15,-3.45,3.95,0.9174665092375236,1.0,-0.029411764705882353,ns
yeast,0.6,e_star,Distill-S vs Baseline-Half,20,-0.6,-3.25,2.05,0.8134516516817016,1.0,-0.07692307692307693,ns
yeast,0.8,e_star,Distill-S vs Baseline-Half,20,-0.3,-3.35,3.25,0.43217202822485334,1.0,-0.23809523809523808,ns
yeast,1.0,e_star,Distill-S vs Baseline-Half,20,-3.7,-5.7,-1.9,0.0018435238005691113,0.011061142803414668,-0.9428571428571428,*
yeast,0.0,ece_best,Distill-S vs Baseline-Half,20,0.00320451506711417,-0.00630622575598887,0.012116977252655653,0.34881019592285156,1.0,0.24761904761904763,ns
yeast,0.2,ece_best,Distill-S vs Baseline-Half,20,0.00394001077321241,-0.0048747342291855815,0.0130065692327164,0.4304332733154297,1.0,0.20952380952380953,ns
yeast,0.4,ece_best,Distill-S vs Baseline-Half,20,0.0023476421431660255,-0.006508350852149393,0.010456264558803254,0.2773551940917969,1.0,0.2857142857142857,ns
yeast,0.6,ece_best,Distill-S vs Baseline-Half,20,0.00900536893744662,0.0020626460751424517,0.01604014995686635,0.039989471435546875,0.23993682861328125,0.5238095238095238,ns
yeast,0.8,ece_best,Distill-S vs Baseline-Half,20,0.0067523104348768655,-0.0006318054101759078,0.014796166349741739,0.21616744995117188,1.0,0.3238095238095238,ns
yeast,1.0,ece_best,Distill-S vs Baseline-Half,20,0.0020660843085560402,-0.0053476681175832945,0.010728906456205492,0.9272785186767578,1.0,-0.02857142857142857,ns
yeast,0.0,ece_final,Distill-S vs Baseline-Half,20,-0.0020962006766788227,-0.010686617638501879,0.0071935228175587,0.4523754119873047,1.0,-0.2,ns
yeast,0.2,ece_final,Distill-S vs Baseline-Half,20,-0.006441625726945485,-0.014519180502265904,0.0014602166930407798,0.1893482208251953,1.0,-0.34285714285714286,ns
yeast,0.4,ece_final,Distill-S vs Baseline-Half,20,-0.003957267955999191,-0.011807631264105207,0.003974619358715261,0.3299827575683594,1.0,-0.2571428571428571,ns
yeast,0.6,ece_final,Distill-S vs Baseline-Half,20,0.003913418271324848,-0.005239607717164537,0.012739103312230982,0.5216732025146484,1.0,0.17142857142857143,ns
yeast,0.8,ece_final,Distill-S vs Baseline-Half,20,-0.0009760649918707203,-0.009555127082975847,0.007367496687028305,0.8408222198486328,1.0,-0.05714285714285714,ns
yeast,1.0,ece_final,Distill-S vs Baseline-Half,20,0.0033060634527543467,-0.005378944687545316,0.012952408416177874,0.7561664581298828,1.0,0.08571428571428572,ns
yeast,0.0,final_gen_gap,Distill-S vs Baseline-Half,20,-0.02685765661691363,-0.036863526772041036,-0.01655050351572665,0.000389773883251227,0.002338643299507362,-0.9047619047619048,**
