dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
yeast,0.0,best_val_acc,Distill-S vs Baseline-LS,20,0.006962025165557861,-0.00021096765995025634,0.014767929911613464,0.11609025506420433,0.5804512753210216,0.4,ns
yeast,0.2,best_val_acc,Distill-S vs Baseline-LS,20,0.005696195363998413,0.00042193233966827395,0.010759493708610535,0.07920143167905062,0.4752085900743037,0.45789473684210524,ns
yeast,0.4,best_val_acc,Distill-S vs Baseline-LS,20,0.004008439183235168,-0.0035864949971437456,0.012447249963879586,0.5859184471309365,1.0,0.14210526315789473,ns
yeast,0.6,best_val_acc,Distill-S vs Baseline-LS,20,0.0031645536422729493,-0.004008445143699646,0.010337549448013305,0.37809652033141794,1.0,0.25,ns
yeast,0.8,best_val_acc,Distill-S vs Baseline-LS,20,-0.0002109736204147339,-0.007173007801175118,0.006751054525375366,0.9243710921566498,1.0,-0.026143790849673203,ns
yeast,1.0,best_val_acc,Distill-S vs Baseline-LS,20,-0.0027426183223724365,-0.009071731567382812,0.003586500883102417,0.36963716702129834,1.0,-0.23976608187134502,ns
yeast,0.0,e_star,Distill-S vs Baseline-LS,20,1.4,-4.7,7.801249999999982,0.9037523965432949,0.9037523965432949,-0.031578947368421054,ns
yeast,0.2,e_star,Distill-S vs Baseline-LS,20,-10.15,-15.3,-5.95,0.0003328220916323718,0.000815101545210521,-0.9142857142857143,***
yeast,0.4,e_star,Distill-S vs Baseline-LS,20,-12.45,-17.75,-7.9,0.0002717005150701737,0.000815101545210521,-0.9285714285714286,***
yeast,0.6,e_star,Distill-S vs Baseline-LS,20,-13.2,-17.0,-9.7,0.00013121408685711018,0.0006529823493741488,-1.0,***
yeast,0.8,e_star,Distill-S vs Baseline-LS,20,-12.9,-16.35,-9.55,0.00013059646987482977,0.0006529823493741488,-1.0,***
yeast,1.0,e_star,Distill-S vs Baseline-LS,20,-16.3,-21.1,-12.2,8.670731863656777e-05,0.0005202439118194066,-1.0,***
yeast,0.0,ece_best,Distill-S vs Baseline-LS,20,-0.0009568648958447158,-0.012193574216216812,0.009844870538723557,0.956329345703125,1.0,-0.01904761904761905,ns
yeast,0.2,ece_best,Distill-S vs Baseline-LS,20,-0.00022136918974647522,-0.009250380486400448,0.009058401067035638,0.9272785186767578,1.0,0.02857142857142857,ns
yeast,0.4,ece_best,Distill-S vs Baseline-LS,20,-0.0018137378197928603,-0.012579213286113467,0.008655841300759429,0.9272785186767578,1.0,-0.02857142857142857,ns
yeast,0.6,ece_best,Distill-S vs Baseline-LS,20,0.004843988974487735,-0.005955262900038491,0.015997712182928416,0.5216732025146484,1.0,0.17142857142857143,ns
yeast,0.8,ece_best,Distill-S vs Baseline-LS,20,0.0025909304719179812,-0.00742648898325988,0.012321064833501458,0.34881019592285156,1.0,0.24761904761904763,ns
yeast,1.0,ece_best,Distill-S vs Baseline-LS,20,-0.002095295654402846,-0.013499157684557261,0.009488487427031927,0.7561664581298828,1.0,-0.08571428571428572,ns
yeast,0.0,ece_final,Distill-S vs Baseline-LS,20,0.0024222224950790207,-0.010213111697159953,0.015583463630541753,0.8694877624511719,1.0,0.047619047619047616,ns
yeast,0.2,ece_final,Distill-S vs Baseline-LS,20,-0.0019232025551876417,-0.009977934713716887,0.0059838702109475915,0.7285060882568359,1.0,-0.09523809523809523,ns
yeast,0.4,ece_final,Distill-S vs Baseline-LS,20,0.000561155215758654,-0.007625497441412714,0.008830450516231698,0.9272785186767578,1.0,0.02857142857142857,ns
yeast,0.6,ece_final,Distill-S vs Baseline-LS,20,0.00843184144308269,-0.0022977249274776694,0.019256625933265343,0.20244979858398438,1.0,0.3333333333333333,ns
yeast,0.8,ece_final,Distill-S vs Baseline-LS,20,0.0035423581798871237,-0.006693825788720703,0.014182871410416204,0.7011814117431641,1.0,0.10476190476190476,ns
yeast,1.0,ece_final,Distill-S vs Baseline-LS,20,0.007824486624512192,-0.002740117978455153,0.018314801796969718,0.13272666931152344,0.7963600158691406,0.3904761904761905,ns
yeast,0.0,final_gen_gap,Distill-S vs Baseline-LS,20,-0.04802310188820486,-0.05707976033985613,-0.040334442970313515,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
yeast,0.2,final_gen_gap,Distill-S vs Baseline-LS,20,-0.039481682049600696,-0.05171002256980066,-0.028527062498268353,9.5367431640625e-06,2.86102294921875e-05,-0.9714285714285714,***
yeast,0.4,final_gen_gap,Distill-S vs Baseline-LS,20,-0.0378027974555367,-0.048553868534690445,-0.0279056557482795,3.814697265625e-06,1.9073486328125e-05,-0.9904761904761905,***
yeast,0.6,final_gen_gap,Distill-S vs Baseline-LS,20,-0.031165889595684265,-0.041381817284069575,-0.02262756884521562,5.7220458984375e-06,2.288818359375e-05,-0.9809523809523809,***
yeast,0.8,final_gen_gap,Distill-S vs Baseline-LS,20,-0.019581171970618413,-0.03063968264538992,-0.009355541531192635,0.0031528472900390625,0.0031528472900390625,-0.7238095238095238,**
yeast,1.0,final_gen_gap,Distill-S vs Baseline-LS,20,-0.018845221494373527,-0.02760524510725548,-0.01062979113098822,0.0004825592041015625,0.000965118408203125,-0.8285714285714286,***
yeast,0.0,test_acc_best,Distill-S vs Baseline-LS,20,0.005555555555555552,-0.00016835016835017313,0.010778619528619485,0.054817815535077634,0.3289068932104658,0.5146198830409356,ns
yeast,0.2,test_acc_best,Distill-S vs Baseline-LS,20,0.003535353535353547,-0.0016835016835016702,0.009095117845117835,0.35956830493793657,1.0,0.24561403508771928,ns
yeast,0.4,test_acc_best,Distill-S vs Baseline-LS,20,0.0008417508417508379,-0.0052188552188552175,0.006565656565656558,0.965209204024005,1.0,0.011695906432748537,ns
yeast,0.6,test_acc_best,Distill-S vs Baseline-LS,20,-0.0005050505050505138,-0.006397306397306396,0.0057239057239057145,0.6944052718716988,1.0,-0.1,ns
yeast,0.8,test_acc_best,Distill-S vs Baseline-LS,20,-0.006734006734006736,-0.013131313131313143,-0.0006734006734006703,0.0733125983983345,0.36656299199167247,-0.47953216374269003,ns
yeast,1.0,test_acc_best,Distill-S vs Baseline-LS,20,-0.0031986531986531895,-0.008080808080808077,0.0016835016835016817,0.3472624244875814,1.0,-0.2647058823529412,ns
yeast,0.0,test_acc_final,Distill-S vs Baseline-LS,20,0.006397306397306396,0.0006734006734006815,0.01195286195286196,0.03815303183604587,0.2289181910162752,0.5882352941176471,ns
yeast,0.2,test_acc_final,Distill-S vs Baseline-LS,20,0.0025252525252525138,-0.004882154882154899,0.010269360269360251,0.5555937539461044,1.0,0.15789473684210525,ns
yeast,0.4,test_acc_final,Distill-S vs Baseline-LS,20,0.004545454545454558,-0.0033670033670033573,0.012794612794612808,0.28540741128350955,1.0,0.28654970760233917,ns
yeast,0.6,test_acc_final,Distill-S vs Baseline-LS,20,0.003872053872053882,-0.001683501683501665,0.009427609427609451,0.15013936695521599,0.75069683477608,0.38596491228070173,ns
yeast,0.8,test_acc_final,Distill-S vs Baseline-LS,20,0.0013468013468013462,-0.003703703703703709,0.007070707070707061,0.8956198486982394,1.0,0.03508771929824561,ns
